counter,filename,scan_type,obs_seq,ele,n1,n2
3773,mapmaker_POLE3-315-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-315-0,POLE3,315,0
3774,mapmaker_POLE3-315-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-315-1,POLE3,315,1
3775,mapmaker_POLE3-315-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-315-2,POLE3,315,2
3776,mapmaker_POLE3-315-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-315-3,POLE3,315,3
3777,mapmaker_POLE3-316-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-316-0,POLE3,316,0
3778,mapmaker_POLE3-316-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-316-1,POLE3,316,1
3779,mapmaker_POLE3-316-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-316-2,POLE3,316,2
3780,mapmaker_POLE3-316-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-316-3,POLE3,316,3
3781,mapmaker_POLE3-317-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-317-0,POLE3,317,0
3782,mapmaker_POLE3-317-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-317-1,POLE3,317,1
3783,mapmaker_POLE3-317-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-317-2,POLE3,317,2
3784,mapmaker_POLE3-317-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-317-3,POLE3,317,3
3785,mapmaker_POLE3-318-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-318-0,POLE3,318,0
3786,mapmaker_POLE3-318-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-318-1,POLE3,318,1
3787,mapmaker_POLE3-318-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-318-2,POLE3,318,2
3788,mapmaker_POLE3-318-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-318-3,POLE3,318,3
3789,mapmaker_POLE3-319-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-319-0,POLE3,319,0
3790,mapmaker_POLE3-319-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-319-1,POLE3,319,1
3791,mapmaker_POLE3-319-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-319-2,POLE3,319,2
3792,mapmaker_POLE3-319-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-319-3,POLE3,319,3
